Designator,Mid X,Mid Y,Rotation,Layer
RESET1,129.8449,-153.67,90.0,top
RRX1,128.3812,-126.376,270.0,top
RTX1,127.1112,-129.424,270.0,top
RV1,42.7,-153.3,90.0,top
R_TERM1,47.62,-35.7839,270.0,top
U1,70.2596,-161.1696,0.0,top
U10,125.2167,-114.908,270.0,top
U11,100.6632,-137.8886,270.0,top
U12,75.0062,-76.454,90.0,top
U13,78.2838,-133.3754,90.0,top
U14,64.2751,-99.167,270.0,top
U15,107.1933,-58.928,180.0,top
U16,88.1547,-93.5128,180.0,top
U17,88.1652,-115.8086,0.0,top
U18,88.147,-104.5972,0.0,top
U2,54.8923,-46.1052,270.0,top
U3,55.0447,-57.887,270.0,top
U4,54.9177,-69.5776,270.0,top
U5,71.737024,-51.997526,180.0,top
U6,79.883,-52.0192,0.0,top
U7,86.487,-52.05,0.0,top
U8,59.493,-36.0614,90.0,top
U9,107.2388,-152.7516,90.0,top
USR_INPUT1,129.8449,-166.25,90.0,top
Y1,73.125,-109.95,180.0,top
